load_id,pickup,delivery,distance,D,F,R,weight,market_index,quote_signal,posted_rate
TR-000196,2341.75,2347.42,1020.2,0,0,1,27930,0.98794,2.07151,2122.76
TR-000197,2360.37,2384.81,716.6,0,0,1,40513,0.97872,2.26917,1627.63
TR-000198,2398.95,2371.34,1591.2,1,0,0,40862,0.99807,1.8802,2971.74
TR-000199,2415.37,2376.18,3186.6,1,0,0,33283,0.9574,1.7683,5650.16
TR-000200,2332,2360.34,135,0,0,1,20524,1.02378,2.93631,399.56
TR-000201,2417.11,2399.97,810.1,1,0,0,38388,0.99297,1.93393,1545.85
TR-000202,2373.98,2364.24,2184.2,0,0,1,39052,1.03724,2.01822,4309.3
TR-000203,2345.35,2393.75,781.2,0,0,1,27995,0.98518,2.20918,1712.03
TR-000204,2371.44,2436.78,657.4,1,0,0,28197,0.98702,2.01266,1309.59
TR-000205,2340.21,2330.21,496.2,1,0,0,-26670,0.96903,2.13155,1046.92
TR-000206,2415.37,2347.42,2172.9,1,0,0,34953,0.9853,1.86455,3989.11
TR-000207,2435.65,2300.56,411.3,0,0,1,-20003,0.948,2.31682,959.15
TR-000208,2362.9,2363.52,671.5,0,1,0,26955,0.99949,2.11142,1406.75
TR-000209,2399.97,2360.34,1267.9,1,0,0,38875,0.94089,2.01241,2543.92
TR-000210,2386.75,2372.24,634.6,0,0,1,29537,1.00395,2.21647,1402.7
TR-000211,2327.6,2278.07,1402.7,1,0,0,31411,0.96111,1.89109,2641.89
TR-000212,2421.42,2345.35,1293.3,1,0,0,32722,1.04037,1.92619,2452.79
TR-000213,2364.24,2347.32,731.9,1,0,0,34673,0.9516,2.04745,1517.1
TR-000214,2285.72,2341.23,925.9,1,0,0,32687,1.0296,1.94664,1820.54
TR-000215,2393.75,2379.67,506.8,0,0,1,26664,1.0061,2.44077,1224.13
TR-000216,2398.95,2324.76,300.9,1,0,0,41598,1.00685,2.53898,761.73
TR-000217,2363.22,2352.86,877.3,1,0,0,41959,0.96957,1.97112,1752.33
TR-000218,2415.37,2373.98,904.7,1,0,0,32750,0.99977,1.86803,1737.6
TR-000219,2400.16,2379.67,1318.6,1,0,0,31897,0.93668,1.94605,2549.86
TR-000220,2363.52,2327.6,407.7,0,1,0,31920,0.95741,2.37813,967.53
TR-000221,2400.16,2360.48,3034.8,1,0,0,39439,1.004,1.7203,5251.53
TR-000222,2437.61,2304.9,1964,0,1,0,34033,1.00238,1.8916,3705.22
TR-000223,2347.42,2400.16,2251.1,0,0,1,29066,1.00891,1.90775,4314.83
TR-000224,2337.42,2304.9,946.2,0,1,0,35177,0.99853,2.05096,1931.43
TR-000225,2417.11,2376.18,301.4,1,0,0,45787,1.00623,2.36826,711.76
TR-000226,2386.75,2332,1317.4,0,0,1,-23981,1.0082,2.13918,2836
TR-000227,2341.23,2341.75,1342.7,0,0,1,26397,,2.01837,2743.13
TR-000228,2381.78,2437.61,1353.1,1,0,0,32464,0.96077,1.91243,2555.61
TR-000229,2372.39,2360.48,1088.2,0,1,0,35915,0.93112,2.08017,2299.46
TR-000230,2402.48,2360.37,730.8,1,0,0,20485,0.98357,1.99027,1468.55
TR-000231,2393.75,2371.34,1532.1,1,0,0,25701,1.00436,1.79251,2714.21
TR-000232,2400.16,2368.14,2982.6,1,0,0,32891,0.9617,1.75281,5180.03
TR-000233,2428.65,2379.67,2013.7,1,0,0,47500,0.99566,1.92448,3883.14
TR-000234,2363.52,2371.34,1253.8,1,0,0,30448,0.9541,1.83201,2269.79
TR-000235,2421.42,2345.35,1322.5,1,0,0,28913,0.97922,1.90012,2464.93
TR-000236,2417.11,2372.24,778.9,1,0,0,39443,0.9893,1.96501,1533.32
TR-000237,2304.9,2341.75,443.9,0,0,1,37389,0.97098,2.45953,1094.99
TR-000238,2435.25,2343.52,591.6,1,0,0,44971,0.96837,2.08778,1252.03
TR-000239,2371.34,2436.78,882.2,1,0,0,39354,0.98282,1.96526,1707.91
TR-000240,2300.56,2363.52,613.1,1,0,0,21380,0.99025,2.05318,1231.27
TR-000241,2287.47,2386.75,839.7,1,0,0,25455,1.02493,1.96507,1654.43
TR-000242,2400.16,2347.42,2235,1,0,0,35736,0.96267,1.72473,3856.99
TR-000243,2332,2398.95,594,0,1,0,20355,1.02502,2.23477,1315.87
TR-000244,2417.11,2402.48,1568.5,0,1,0,24901,1.02696,1.97172,3091.7
TR-000245,2391.87,2436.78,256.5,0,1,0,34724,1.02766,2.41279,620.43
TR-000246,2360.48,2285.72,800.4,1,0,0,6811,0.99558,1.76901,1464.99
TR-000247,2340.21,2379.67,1454.2,0,1,0,24940,0.95909,2.04469,2930.01
TR-000248,2304.9,2345.88,258.9,0,0,1,32382,1.01477,2.51158,654.81
TR-000249,2340.21,2435.65,2454.9,1,0,0,38008,0.93741,1.76082,4340.48
TR-000250,2368.14,2405.63,998.9,0,1,0,37308,0.97123,2.19638,2159.23
TR-000251,2384.81,2417.11,277.6,1,0,0,29046,1.016,2.18122,609.35
TR-000252,2399.97,2405.2,1386.5,1,0,0,36528,1.00233,1.87811,2649.11
TR-000253,2437.61,2319.61,2113.6,1,0,0,32352,0.98011,1.74303,3655.08
TR-000254,2436.78,2381.78,336,1,0,0,37829,1.0488,2.23554,755.69
TR-000255,2368.14,2417.11,110.2,0,1,0,20191,1.00264,2.62803,293.49
TR-000256,2417.11,2360.37,976.5,1,0,0,40744,1.03266,2.00324,1934.19
TR-000257,2327.6,2343.52,748.5,0,0,1,36228,0.96285,2.24462,1714.56
TR-000258,2364.24,2379.67,1016.8,1,0,0,44079,0.97727,2.08226,2129.75
TR-000259,2402.48,2345.35,1140.1,0,0,1,36773,1.02689,2.20276,2533.42
TR-000260,2422.44,2417.11,899.4,0,1,0,17858,0.97163,1.97288,1778.09
TR-000261,2391.87,2287.47,941.2,0,0,1,37315,0.98876,2.24769,2115.57
TR-000262,2415.37,2324.76,1934.8,1,0,0,47500,0.97303,1.90879,3701
TR-000263,2379.67,2428.65,1985.1,1,0,0,34311,0.99159,1.87053,3645.7
TR-000264,2292.95,2362.9,2322.2,1,0,0,14121,0.93244,1.68672,3850.86
TR-000265,2428.65,2343.52,785.5,1,0,0,23644,0.99063,1.93307,1488.1
TR-000266,2379.67,2363.22,1225.6,0,0,1,27498,0.95993,2.10911,2609.56
TR-000267,2341.75,2363.22,2832.2,1,0,0,37229,0.96066,1.71474,4938.29
TR-000268,2304.9,2386.75,554.5,0,0,1,27144,0.94551,2.19965,1217.61
TR-000269,2337.42,2341.75,1106.5,1,0,0,29022,0.99319,1.88176,2081.89
TR-000270,2415.37,2363.52,2105.1,1,0,0,26470,0.9715,1.74235,3650.7
TR-000271,2373.98,2330.21,794.7,1,0,0,41074,0.97678,2.02626,1585.63
TR-000272,2324.52,2400.16,2401.1,1,0,0,24358,1.02215,1.75298,4201.05
TR-000273,2381.78,2345.35,332.5,1,0,0,41246,0.94075,2.28149,750.82
TR-000274,2345.35,2422.44,436.6,1,0,0,22172,0.9987,2.00852,882.48
TR-000275,2398.95,2360.34,500.3,1,0,0,28943,0.99974,2.30507,1156.87
TR-000276,2435.25,2364.24,169,0,1,0,38158,1.04074,2.80354,475.54
TR-000277,2363.22,2300.56,2534.6,1,0,0,37966,1.00891,1.81706,4574.59
TR-000278,2363.22,2405.63,1921.8,0,0,1,35090,0.99887,2.19042,4123.17
TR-000279,2292.95,2415.37,556.5,0,0,1,19098,0.96494,2.19308,1232.09
TR-000280,2400.16,2384.81,2781.6,0,0,1,43972,0.99544,2.01542,5532.54
TR-000281,2347.32,2428.65,1717.4,1,0,0,41626,0.96676,1.88273,3222.02
TR-000282,2415.37,2340.21,447.1,1,0,0,25869,0.98418,2.07206,926.85
TR-000283,2304.9,2319.61,143.9,1,0,0,17880,0.99028,2.23605,330.73
TR-000284,2372.39,2372.24,768.2,1,0,0,30433,0.9725,2.01593,1556.78
TR-000285,2435.25,2435.65,377.4,1,0,0,32476,0.97626,2.16796,819.64
TR-000286,2371.44,2287.47,560.9,0,0,1,27029,1.00292,2.42119,1349.47
TR-000287,2381.78,2415.37,1978.2,1,0,0,36859,1.00352,1.85233,3617.63
TR-000288,2372.39,2324.76,333.8,0,1,0,30771,1.00212,2.48467,832.13
TR-000289,2402.48,2400.16,1584.5,1,0,0,19564,0.98122,1.78443,2817.23
TR-000290,2422.44,2287.47,671.5,1,0,0,37776,1.01242,2.18071,1477.68
TR-000291,2422.44,2386.75,288.5,1,0,0,21254,0.97655,2.18941,628.1
TR-000292,2495.5,2437.61,1372.5,0,0,1,21660,0.99936,1.95435,2738.34
TR-000293,2391.87,2381.28,220.2,1,0,0,25549,0.99122,2.27662,505.87
TR-000294,2384.81,2393.75,1074.8,1,0,0,23684,0.97033,1.92116,2074.46
TR-000295,2386.75,2319.61,685.6,1,0,0,30959,1.00393,1.89033,518.31
TR-000296,2300.56,2399.97,704.4,0,0,1,21962,0.95182,2.09498,1468.94
TR-000297,2347.32,2415.37,1498.1,1,0,0,25142,0.96575,1.80885,2696.74
TR-000298,2347.32,2437.61,1028.5,1,0,0,22716,0.95357,1.91152,1923.56
TR-000299,2362.03,2400.16,663,0,0,1,23282,0.99549,2.17493,1455.51
TR-000300,2319.61,2360.48,471.3,1,0,0,21650,1.05003,2.03259,956.05
TR-000301,2360.37,2376.18,1102.3,0,0,1,37152,0.98931,2.16006,2371.55
TR-000302,2437.61,2341.75,2402.1,0,1,0,38578,0.98326,1.92212,4632.49
TR-000303,2352.86,2330.56,749.9,0,0,1,32269,0.99207,2.35571,1761.52
TR-000304,2415.37,2415.59,1656.1,0,1,0,36300,0.96785,2.01728,3377.76
TR-000305,2343.52,2363.22,2508.5,0,1,0,37049,0.9682,1.9138,4749.77
TR-000306,2398.95,2363.22,1638.4,0,0,1,15521,0.99512,2.00477,3330.82
TR-000307,2398.95,2300.56,1029.5,1,0,0,26608,0.9512,1.91911,1992.49
TR-000308,2360.37,2337.42,138.8,1,0,0,15785,0.99641,2.46012,338.21
TR-000309,2278.07,2381.78,1501,1,0,0,24661,1.00239,1.81963,2712.93
TR-000310,2417.11,2381.28,1120.7,1,0,0,31448,1.00002,1.91519,2151.58
TR-000311,2405.63,2324.76,317.4,0,0,1,28337,1.00708,2.52187,801.58
TR-000312,2400.16,2368.14,2935.7,0,1,0,32807,,1.91236,5568.57
TR-000313,2435.25,2421.42,932.7,0,0,1,33909,0.95371,2.27056,2145.57
TR-000314,2391.87,2341.75,1097,1,0,0,44677,0.99035,1.86323,2058.36
TR-000315,2347.42,2364.24,611.1,1,0,0,39728,0.94875,2.05606,1273.78
TR-000316,2417.11,2360.48,100.4,1,0,0,20399,0.9514,2.51655,252.89
