load_id,pickup,delivery,distance,D,F,R,weight,market_index,quote_signal
TE-000081,2324.758747,2314.794916,1171.4,1,0,0,38119,0.93364,2.02629
TE-000082,2300.557875,2213.265057,1542.9,0,0,1,31218,0.8931,1.81253
TE-000083,2347.323839,2376.814976,1696.1,1,0,0,26607,0.9132,2.29537
TE-000084,2372.242708,2338.107605,1942.2,0,0,1,21712,0.91479,1.80596
TE-000085,0,2320.498273,462.5,1,0,0,33661,0.88281,2.14417
TE-000086,2331.999937,0,1901.9,0,0,1,10570,0.85253,1.78216
TE-000087,0,2358.126773,2260,0,0,1,20789,0.92753,2.11119
TE-000088,2435.651745,2438.853011,1118.9,0,1,0,31158,0.89693,1.73927
TE-000089,2399.973752,2410.21985,2244.3,1,0,0,20233,0.89831,1.92274
TE-000090,2436.782429,2333.621217,454.7,1,0,0,19163,0.89976,2.10881
TE-000091,2345.88247,2368.183601,548.1,0,1,0,36433,0.88075,2.16316
TE-000092,2373.978362,2376.58651,1884.5,1,0,0,33735,0.89432,2.19326
TE-000093,2422.435157,2396.610566,676.7,0,0,1,41725,0.88253,1.99505
TE-000094,2379.670669,2401.643216,837.4,0,0,1,23610,0.91954,1.84512
TE-000095,2324.758747,2393.860138,1936.7,0,1,0,26826,0.90764,2.20757
TE-000096,2405.630936,2258.60468,704.4,1,0,0,24378,0.87435,2.27244
TE-000097,2381.275964,2288.001041,1189.8,1,0,0,17792,0.85216,2.14983
TE-000098,2373.978362,2376.58651,1957.1,0,1,0,17483,0.9426,2.39945
TE-000099,2319.611823,2365.846109,1098,1,0,0,24275,0.87284,2.31162
TE-000100,2495.500445,2410.21985,2096.5,0,0,1,26804,0.89839,2.1686
TE-000101,0,2416.13977,320.5,0,1,0,22679,0.85719,2.15545
TE-000102,2417.105175,2288.001041,70,1,0,0,28548,0.91923,1.82266
TE-000103,2381.780508,2323.32636,648.7,1,0,0,22901,0.9061,2.37176
TE-000104,2381.275964,2335.521141,1927,1,0,0,26766,0.93116,2.2955
TE-000105,2371.441718,2423.152774,308.3,0,0,1,23175,0.87672,2.42324
TE-000106,2343.524375,2332.539852,454.2,1,0,0,24113,0.88872,1.67705
TE-000107,2268.785714,2393.860138,2077.8,1,0,0,27385,0.87439,1.98717
TE-000108,2402.475076,2320.498273,1066.6,1,0,0,34038,0.91594,2.19175
TE-000109,2405.200865,2394.652159,1160.4,1,0,0,25015,0.90997,2.23561
TE-000110,2324.758747,2320.452,1111.8,1,0,0,24632,0.91959,1.72543
TE-000111,2393.746127,2342.508207,498.9,0,1,0,37268,0.87714,2.08549
TE-000112,2324.519959,2373.732961,703.7,0,0,1,41719,0.89056,2.1179
TE-000113,2379.670669,0,1528.6,1,0,0,24791,0.95227,2.33236
TE-000114,2324.758747,2314.794916,1126.1,1,0,0,43020,0.91102,1.96132
TE-000115,2324.519959,2373.732961,714.2,1,0,0,31923,0.92763,1.89286
TE-000116,2398.948371,2288.001041,1415.1,0,1,0,34215,0.91391,1.85497
TE-000117,2386.745584,2319.338213,364.2,0,1,0,27274,0.90846,2.2843
TE-000118,2300.557875,2396.610566,1105.5,0,0,1,24723,0.91908,1.93444
TE-000119,2381.275964,2258.60468,957.6,1,0,0,27391,0.94089,2.05065
TE-000120,2364.243526,2323.32636,465,1,0,0,36470,0.88564,2.17756
TE-000121,2292.950558,2335.521141,585.3,0,1,0,42819,0.91663,1.96013
TE-000122,2340.208547,2343.268614,2311,1,0,0,18546,0.90551,1.83424
TE-000123,2384.808275,2392.271247,716.9,1,0,0,39915,0.88778,1.8122
TE-000124,0,2343.268614,734.8,1,0,0,40267,0.89861,1.78905
TE-000125,2398.948371,2440.155246,533.3,1,0,0,34564,0.9195,1.82368
TE-000126,2391.87245,2358.454781,1183.1,1,0,0,41386,0.95678,2.11137
TE-000127,2371.441718,0,376.4,1,0,0,36429,0.90292,2.33456
TE-000128,0,2416.13977,536.4,0,0,1,47500,0.89707,1.73604
TE-000129,2340.208547,2314.794916,2970.6,1,0,0,23329,0.86886,1.92277
TE-000130,2400.164778,2314.794916,2960.6,0,1,0,30964,0.89784,1.90532
TE-000131,2405.630936,2396.610566,512.1,1,0,0,36561,0.84628,1.78188
TE-000132,2436.782429,2358.454781,1415.1,0,1,0,13697,0.87996,1.84917
TE-000133,2324.758747,2440.931345,417.1,1,0,0,32580,0.86178,2.09896
TE-000134,2319.611823,2381.27122,2782,0,0,1,31905,0.93213,2.20637
TE-000135,2324.519959,2314.56563,122.9,1,0,0,45390,0.88093,1.86924
TE-000136,2347.421012,2394.652159,618.6,1,0,0,36693,0.90494,1.97831
TE-000137,2371.441718,2344.086786,2045.8,0,0,1,32528,0.89511,2.06302
TE-000138,2495.500445,2449.516032,824.1,1,0,0,38927,0.88558,2.40372
TE-000139,2340.208547,2376.58651,2148.7,1,0,0,47500,0.92485,2.05468
TE-000140,2319.611823,2258.60468,611.1,1,0,0,44318,0.88427,2.33419
TE-000141,2402.475076,2420.506514,1569.8,0,0,1,25150,0.91046,1.80355
TE-000142,2337.423269,0,1071.6,1,0,0,24328,0.90797,1.90398
TE-000143,2381.275964,0,1797.6,1,0,0,29365,0.9021,2.07499
TE-000144,2368.143591,2322.298305,2641.4,0,1,0,33407,0.88991,1.99351
TE-000145,2337.423269,2288.001041,1146.8,1,0,0,44318,0.8907,2.14679
TE-000146,2360.343076,2401.643216,900.6,0,1,0,20538,0.88023,2.41237
TE-000147,2324.758747,2320.452,1097.4,1,0,0,21537,0.84891,2.22331
TE-000148,2287.469184,2394.652159,735.1,0,0,1,32519,0.89537,2.20554
TE-000149,2364.243526,2449.516032,708.5,1,0,0,31349,0.94009,1.86935
TE-000150,2379.670669,2314.794916,1723.7,1,0,0,47172,0.89304,1.98927
TE-000151,2381.275964,2358.454781,979.5,1,0,0,35792,0.93194,2.13909
TE-000152,2341.754674,0,3007.2,1,0,0,23252,0.91948,2.127
TE-000153,2373.978362,2395.681045,1460.7,0,1,0,38428,0.87118,2.00096
TE-000154,2341.754674,2335.521141,3100.3,1,0,0,22197,0.93647,2.03877
TE-000155,2381.780508,2358.126773,1132.5,1,0,0,24450,0.87749,1.99802
TE-000156,2287.469184,2373.732961,1295.5,0,1,0,34639,0.8809,2.29564
TE-000157,2362.895358,2314.794916,288.1,0,1,0,32055,0.88352,2.01622
TE-000158,2362.895358,2343.268614,465.3,1,0,0,20120,0.89793,1.96944
TE-000159,2330.555271,2431.125135,1421.9,1,0,0,25615,0.88497,2.04414
TE-000160,2347.421012,2319.338213,726.9,1,0,0,27618,0.89139,2.02214
TE-000161,2384.808275,2295.4675,876.2,0,0,1,30815,0.87802,1.79132
TE-000162,2324.758747,2368.183601,670.3,1,0,0,25111,0.8781,2.35962
TE-000163,0,2358.126773,1616.1,1,0,0,32590,0.91381,2.16276
TE-000164,2384.808275,2343.268614,582.3,0,0,1,38401,0.94211,2.18729
TE-000165,2362.895358,2338.107605,2285.6,1,0,0,25767,0.8801,1.79376
TE-000166,0,2431.125135,913.9,0,0,1,16043,0.90656,1.88334
TE-000167,2343.524375,2320.452,1644.8,1,0,0,43886,0.87816,2.00444
TE-000168,2363.517172,2373.732961,737.3,0,0,1,45652,0.94829,1.76408
TE-000169,2376.175448,2394.652159,1018.1,1,0,0,34198,0.91283,2.19148
TE-000170,2292.950558,2300.372527,524.1,1,0,0,14670,0.93425,1.80786
TE-000171,0,2436.060765,177.8,1,0,0,26959,0.85753,2.02916
TE-000172,0,2393.860138,1500.1,0,0,1,45489,0.886,2.10881
TE-000173,2379.670669,2322.298305,1030.9,0,0,1,31109,0.87796,2.31199
TE-000174,2372.242708,2288.001041,786.7,1,0,0,47500,0.91551,1.85532
TE-000175,2319.611823,2418.125559,547.8,0,1,0,,0.87768,2.19463
TE-000176,0,2440.155246,141.2,1,0,0,32299,0.91717,2.07347
TE-000177,2398.948371,2449.516032,1295.4,1,0,0,42692,0.89226,2.02539
TE-000178,0,2288.001041,918.4,1,0,0,35245,0.89628,2.02113
TE-000179,2347.323839,2431.125135,408.4,0,0,1,34450,0.90132,1.8903
TE-000180,2304.903794,2288.001041,445.4,1,0,0,45159,0.90232,2.25413
TE-000181,2345.354121,2431.916096,964,0,1,0,32404,0.89523,2.38422
TE-000182,2324.519959,2338.107605,2117.7,0,0,1,28473,0.88605,2.24072
TE-000183,2347.421012,2314.56563,822.9,0,0,1,24579,0.90389,2.20348
TE-000184,2368.143591,2376.814976,278.7,1,0,0,-36522,0.86676,1.76257
TE-000185,2287.469184,2288.001041,1534,0,0,1,39032,0.89387,1.817
TE-000186,2287.469184,2451.387059,167.7,0,0,1,29146,0.95037,2.26268
TE-000187,2331.999937,2423.152774,1268,1,0,0,29424,,1.64526
TE-000188,2341.754674,2314.794916,127.7,1,0,0,44631,0.90225,1.92372
TE-000189,2364.243526,2438.853011,1105,0,1,0,30113,0.88242,1.73571
TE-000190,2347.323839,2365.846109,611.3,1,0,0,30994,0.9504,2.10339
TE-000191,2352.858014,2393.860138,826.7,1,0,0,26986,0.88928,1.69993
TE-000192,2371.441718,2420.506514,974.4,0,1,0,22921,0.91722,1.87136
TE-000193,2371.441718,0,782.2,1,0,0,35748,0.91906,2.12911
TE-000194,2345.354121,2420.506514,746,1,0,0,29224,0.9055,2.18429
TE-000195,2340.208547,2409.861852,1716,0,0,1,24378,0.943,2.32418
TE-000196,2287.469184,2376.58651,1179,1,0,0,18318,0.92864,1.82138
TE-000197,2368.143591,2373.732961,329.3,1,0,0,39200,0.89019,2.00786
TE-000198,2399.973752,2435.903949,732.7,0,1,0,27854,0.87771,1.98504
TE-000199,2371.441718,2396.610566,562.3,0,0,1,32121,0.90126,2.09682
TE-000200,0,2348.170183,205.7,0,1,0,28936,0.88344,1.92802
TE-000201,2352.858014,2499.984463,1507.6,0,0,1,26982,0.92191,1.9835
TE-000202,2371.441718,2431.125135,828,1,0,0,26053,0.93171,1.80147
TE-000203,2379.670669,2323.32636,722.3,1,0,0,33241,0.88044,1.90026
TE-000204,2435.24564,2338.107605,1649.7,1,0,0,32379,0.93089,2.31867
TE-000205,2340.208547,0,2274.6,0,0,1,41505,0.87752,2.30978
TE-000206,2435.651745,2413.018698,487.4,1,0,0,-25784,0.90519,2.13603
TE-000207,2422.435157,2360.440814,543.9,1,0,0,47500,0.93491,2.00058
TE-000208,2415.371339,2394.652159,2212.5,0,0,1,30557,0.90367,2.13468
TE-000209,0,2360.440814,765,0,0,1,35176,0.8772,1.91115
TE-000210,2352.858014,2338.107605,615,1,0,0,11794,0.90998,2.00919
TE-000211,2347.421012,2314.56563,821.3,0,0,1,27997,0.95041,2.16405
TE-000212,0,2358.126773,632.1,1,0,0,25846,0.85513,2.13259
TE-000213,2363.517172,2420.506514,940.5,0,1,0,15471,0.90891,2.25117
TE-000214,2360.475293,2477.834595,1125.9,1,0,0,35943,0.9138,1.78497
TE-000215,2287.469184,2431.125135,280.4,1,0,0,11931,0.89466,2.15776
TE-000216,2398.948371,2288.001041,1447.7,0,0,1,28973,0.92138,1.68807
TE-000217,2422.435157,2343.268614,360.8,1,0,0,34320,0.92745,2.20219
TE-000218,2362.030533,0,2126.8,1,0,0,35803,0.90377,1.99535
TE-000219,2363.220922,2314.794916,2755.9,1,0,0,39503,0.94356,2.2939
TE-000220,2398.948371,2358.454781,566,1,0,0,21621,0.93332,1.75384
TE-000221,2341.228856,2409.861852,581.2,1,0,0,29871,0.88382,2.09968
TE-000222,2371.441718,2401.643216,1504.1,0,0,1,37425,0.83326,2.03553
TE-000223,2381.275964,2350.789479,483,0,1,0,47500,0.86909,1.97839
TE-000224,2399.973752,2376.814976,1025.2,1,0,0,32577,0.81625,2.42385
TE-000225,2330.211578,2365.846109,1894.5,1,0,0,22817,0.8442,1.99237
TE-000226,2386.745584,2319.338213,379.9,1,0,0,43249,0.84062,1.99726
TE-000227,2363.517172,2333.621217,497.5,0,1,0,40053,0.83017,2.06431
TE-000228,2286.313212,2342.508207,733.7,1,0,0,23695,0.83537,1.96037
TE-000229,2371.33693,2319.338213,1269.9,0,0,1,5000,0.83973,1.70787
TE-000230,2363.517172,0,698.6,1,0,0,37003,0.87866,2.34069
TE-000231,2379.670669,2393.860138,1255.8,0,0,1,41450,0.81273,1.9516
TE-000232,0,2338.426828,1715.3,1,0,0,22281,0.84245,2.17216
TE-000233,2399.973752,2499.984463,223.3,0,0,1,43988,0.85517,2.06339
TE-000234,2345.354121,2365.846109,859.2,1,0,0,25573,0.79772,2.30438
TE-000235,2364.243526,2392.271247,442.7,1,0,0,40821,0.86485,2.43742
TE-000236,2330.555271,2335.521141,408,0,0,1,26555,0.79909,2.23229
TE-000237,2368.143591,2413.018698,954.1,1,0,0,21625,0.82417,1.79223
TE-000238,2428.650697,2365.846109,1257.3,1,0,0,34481,0.83111,1.90424
TE-000239,2495.500445,2342.508207,98.3,0,1,0,47500,0.84992,1.81016
TE-000240,2347.421012,2413.018698,490,1,0,0,34692,0.81797,1.92351
TE-000241,2437.607814,0,595.9,1,0,0,34266,0.82659,1.97752
TE-000242,2345.354121,2320.452,1447.8,0,0,1,29462,0.86251,1.78736
TE-000243,2421.419866,2344.086786,1413.9,1,0,0,47500,0.82753,1.7418
TE-000244,2319.611823,0,1918.3,1,0,0,20991,0.85777,1.98071
TE-000245,2341.754674,2314.56563,818.6,1,0,0,41505,0.84182,1.77563
TE-000246,2347.323839,0,661.4,0,1,0,33277,,2.22067
TE-000247,2347.421012,0,1690.8,0,0,1,36076,0.79167,1.95882
TE-000248,0,2314.794916,1320.8,0,1,0,31767,0.84754,1.95313
TE-000249,2421.419866,2333.621217,964.4,0,0,1,24089,0.81519,1.68771
TE-000250,2324.758747,2376.814976,1380.2,0,1,0,32049,0.84336,2.108
TE-000251,2371.33693,2314.56563,1090.9,0,0,1,25891,0.84928,1.96708
TE-000252,2435.24564,0,758.1,0,1,0,39439,0.83563,2.11666
TE-000253,2364.243526,2396.610566,714,1,0,0,33354,0.78757,1.8875
TE-000254,2415.371339,2451.387059,1540.6,0,0,1,36901,0.86917,1.75648
TE-000255,2399.973752,2395.681045,1138.7,1,0,0,36198,0.85917,1.74835
TE-000256,0,2343.268614,136.1,0,0,1,24492,0.84403,2.00024
TE-000257,2400.164778,0,2138.5,1,0,0,24334,0.92584,2.0102
TE-000258,2379.670669,2342.508207,927.5,0,1,0,20602,0.83087,2.26066
TE-000259,2398.948371,2477.834595,741.1,0,0,1,28207,0.86905,1.88355
TE-000260,2437.607814,2320.498273,1916.3,1,0,0,30214,0.82559,2.08642
TE-000261,2436.782429,2440.155246,521.3,0,0,1,29314,0.84682,2.19451
TE-000262,2368.143591,2395.681045,1701,0,1,0,28497,0.83175,2.13865
TE-000263,2384.808275,2343.268614,622.2,0,1,0,28259,0.84932,2.04983
TE-000264,2364.243526,2409.861852,835.5,1,0,0,28008,0.84575,2.02685
TE-000265,2405.200865,2322.298305,936.3,1,0,0,38790,,1.86985
TE-000266,2360.369685,2449.516032,1004.3,1,0,0,23792,0.84399,1.73945
TE-000267,2381.780508,0,633.9,1,0,0,42202,0.80657,2.5039
TE-000268,2319.611823,2401.643216,2257.9,1,0,0,37172,0.83711,2.31675
TE-000269,2287.469184,2343.268614,985.8,1,0,0,37467,,2.20033
TE-000270,2343.524375,2319.803941,516.5,1,0,0,16687,0.8341,2.11331
TE-000271,0,2409.776871,1488.5,1,0,0,40226,0.81539,2.02875
TE-000272,2400.164778,2416.13977,1946,1,0,0,25001,0.86487,2.24604
TE-000273,2345.354121,2350.789479,601.3,1,0,0,34153,0.80319,1.88587
TE-000274,2286.313212,2338.107605,1300.6,0,1,0,25202,0.78928,2.19574
TE-000275,2371.441718,2449.516032,872.2,0,0,1,27531,0.8554,1.95941
TE-000276,2330.211578,2436.060765,2505.8,1,0,0,29844,0.8218,2.07676
TE-000277,2428.650697,2333.621217,1366,0,0,1,31554,0.83537,2.00942
TE-000278,2371.33693,2368.183601,940.3,1,0,0,20121,0.85668,2.47835
TE-000279,2422.435157,2288.001041,938.7,1,0,0,,0.81564,2.02403
TE-000280,2360.343076,2420.506514,1844.5,0,0,1,37787,0.83418,2.07174
TE-000281,2352.858014,2258.60468,1757.4,1,0,0,25062,0.86471,2.121
TE-000282,2372.242708,2449.516032,451.2,1,0,0,15889,0.81241,1.84344
TE-000283,2422.435157,2392.271247,468.1,0,1,0,35942,0.85763,2.25408
TE-000284,2495.500445,0,864.9,1,0,0,31778,0.85614,1.76187
TE-000285,2398.948371,2322.298305,1451.1,0,1,0,13618,0.83729,2.4108
TE-000286,2435.651745,2373.732961,633.6,0,1,0,16582,0.86071,2.09919
TE-000287,2405.630936,2409.861852,614,0,0,1,43255,0.84411,2.01898
TE-000288,2360.343076,2333.621217,920.2,0,0,1,40597,0.84217,2.0927
TE-000289,2405.630936,2499.984463,748.9,1,0,0,29909,0.83608,1.64711
TE-000290,2352.858014,2409.776871,419,1,0,0,,0.82975,1.85716
TE-000291,2400.164778,2477.834595,2062.7,1,0,0,30744,0.81614,2.03736
TE-000292,2337.423269,2343.268614,814.5,1,0,0,35935,0.8414,1.56316
TE-000293,2343.524375,2322.298305,2278.1,0,1,0,27819,0.85605,1.82906
TE-000294,2405.630936,2358.454781,923.4,1,0,0,9594,0.84877,2.05542
TE-000295,2399.973752,2431.125135,1254.8,1,0,0,31322,0.83817,2.46893
TE-000296,2402.475076,2440.931345,921.6,1,0,0,46601,0.86351,2.32579
TE-000297,2372.392688,2409.861852,528.6,1,0,0,29991,0.8283,1.99798
TE-000298,2373.978362,2361.203303,1969.1,0,0,1,29556,0.81238,2.14027
TE-000299,2422.435157,2401.643216,1587.7,0,0,1,19591,0.84989,1.86924
TE-000300,2495.500445,2358.126773,1156.9,1,0,0,25938,0.83176,2.239
TE-000301,2391.87245,2323.32636,805.9,0,1,0,19518,0.85334,2.23702
TE-000302,2347.421012,2338.107605,1763,1,0,0,25948,0.86374,2.3438
TE-000303,2330.211578,2333.621217,1589.3,0,0,1,27401,0.84471,2.10936
TE-000304,2422.435157,2390.998973,1901.9,1,0,0,42848,0.8172,2.33088
TE-000305,2405.630936,2393.860138,1861.6,1,0,0,44908,0.86209,2.07241
TE-000306,2287.469184,2478.807647,1240.4,1,0,0,26291,,2.06795
TE-000307,2435.651745,2413.018698,507,0,0,1,36115,0.83031,2.24141
TE-000308,2287.469184,2319.338213,518.3,1,0,0,26613,0.88421,2.02323
TE-000309,2287.469184,2300.372527,1876.7,1,0,0,36648,0.88968,2.40159
TE-000310,2363.220922,2394.652159,2095.5,0,0,1,41939,0.83641,2.51983
TE-000311,2341.754674,2381.27122,3072.9,0,0,1,26227,0.84506,1.89733
TE-000312,2421.419866,2410.21985,1795.2,1,0,0,23052,0.83759,2.17162
TE-000313,2337.423269,2401.643216,1664.5,0,1,0,30478,0.90036,1.97421
TE-000314,2364.243526,2410.21985,2407.9,0,1,0,34746,0.84841,2.42881
TE-000315,2405.630936,2418.125559,646.5,1,0,0,38758,0.85796,2.10362
TE-000316,2330.211578,2376.814976,3044.4,1,0,0,17327,0.81885,2.29436
TE-000317,2363.220922,2323.32636,1895.8,1,0,0,22097,0.85673,1.67548
TE-000318,0,2358.126773,2206.9,0,0,1,27548,0.83753,1.78503
TE-000319,2304.903794,2418.125559,494.7,0,1,0,24641,0.81729,1.90057
TE-000320,2393.746127,2478.807647,1047.6,0,1,0,36431,0.83208,2.16122
TE-000321,2360.343076,0,1817.7,0,1,0,15852,0.80049,1.90862
TE-000322,2400.164778,2361.203303,2176,0,1,0,32030,0.81208,1.896
TE-000323,0,2499.984463,1715.6,1,0,0,33460,0.8789,2.22352
TE-000324,2422.435157,2344.086786,2067.3,1,0,0,18229,0.79194,1.81197
TE-000325,2364.243526,0,1262.6,0,0,1,31015,0.87377,1.86848
TE-000326,2287.469184,2288.001041,1540.3,1,0,0,32691,0.81396,1.64903
TE-000327,2415.371339,2322.298305,280.9,0,0,1,26640,0.78058,2.30763
TE-000328,2381.275964,0,973,1,0,0,35981,0.8696,1.98388
TE-000329,2360.369685,2361.203303,461.1,1,0,0,35102,0.80623,2.16306
TE-000330,2435.24564,2314.794916,904.5,0,0,1,34322,0.87282,2.06069
TE-000331,2422.435157,0,509.9,1,0,0,38013,0.83595,2.24778
TE-000332,2324.758747,2332.539852,944.1,1,0,0,26619,0.85285,2.32765
TE-000333,2268.785714,2361.203303,331.2,0,0,1,39788,0.87112,1.92339
TE-000334,2437.607814,2320.452,408.6,1,0,0,37740,0.88249,1.90406
TE-000335,2381.780508,2392.271247,697.8,0,1,0,35921,0.8185,1.87129
TE-000336,2362.895358,2322.298305,2363.8,1,0,0,33190,0.82772,1.95971
TE-000337,2300.557875,2395.681045,1433.1,0,1,0,34059,0.84302,2.28033
TE-000338,0,2323.32636,1122.9,1,0,0,11046,0.84709,1.90703
TE-000339,2337.423269,2431.125135,734.4,0,0,1,29988,0.85663,1.7069
TE-000340,2363.220922,2358.126773,2878.5,1,0,0,22336,0.81472,2.50573
TE-000341,2435.24564,2401.643216,1476.6,1,0,0,38374,0.8214,1.77139
TE-000342,2391.87245,2449.516032,785.5,1,0,0,22866,0.83035,1.79037
TE-000343,2435.24564,2431.916096,1176.7,1,0,0,34370,0.85939,2.20657
