pickup,delivery,distance,D,F,R,weight,date,mes,market_index,quote_signal
2362.030533,2371.441718,2215.4,1,0,0,19808,1,1,0.97205,1.71776
2400.164778,2292.950558,583.4,1,0,0,29231,1,1,0.94993,2.02412
2400.164778,2347.421012,2202.5,0,0,1,26740,1,1,1.00748,1.86794
2363.220922,2324.758747,1922.3,1,0,0,37974,1,1,0.95147,1.87015
2371.441718,2379.670669,850.1,0,1,0,29378,1,1,0.97926,2.19713
2364.243526,2417.105175,820.5,0,0,1,31258,1,1,0.94182,2.14485
2324.758747,2352.858014,1115.7,0,1,0,34898,1,1,0.96116,2.20553
2399.973752,2405.630936,535.7,1,0,0,39940,1,1,0.92898,2.17025
2343.524375,2384.808275,384.5,1,0,0,31152,1,1,0.9898,2.20655
2435.651745,2343.524375,257.6,1,0,0,29629,1,1,0.90791,2.27029
2436.782429,2415.371339,2241.4,1,0,0,25023,1,1,0.99378,1.71101
2371.33693,2417.105175,427.1,1,0,0,29786,1,1,0.95158,1.98245
2360.369685,2373.978362,2230.8,0,0,1,30600,1,1,0.97254,2.01387
2421.419866,2381.780508,1036.6,1,0,0,39027,1,1,0.95409,2.07287
2384.808275,2360.369685,723.7,0,0,1,42496,1,1,0.91712,2.27078
2399.973752,2363.517172,531.9,0,1,0,27883,1,1,0.96161,2.21539
2391.87245,2405.630936,542.5,1,0,0,37842,1,1,0.95371,2.15956
2352.858014,2371.33693,2216.1,0,1,0,35142,1,1,0.91661,1.88952
2391.87245,2495.500445,276.7,1,0,0,33346,1,1,0.98371,2.39449
2268.785714,2372.392688,285,0,0,1,43894,1,1,0.97958,2.70783
2352.858014,2285.719116,1334.2,0,0,1,-36559,1,1,0.96102,2.11777
2417.105175,2324.758747,1186.8,1,0,0,34917,1,1,0.96357,1.8745
2417.105175,2372.392688,1125,1,0,0,22549,1,1,0.94539,1.77859
2381.275964,2319.611823,905.3,1,0,0,29801,1,1,0.95616,1.88236
2381.780508,2386.745584,473.7,0,1,0,40638,1,1,0.98251,2.32082
2341.228856,2398.948371,535.4,0,1,0,36443,1,1,0.96644,2.37161
2384.808275,2304.903794,334.9,0,0,1,21489,1,1,0.93667,2.34941
2371.33693,2415.371339,3099.1,0,0,1,35906,1,1,0.94623,1.92298
2352.858014,2436.782429,1396.3,1,0,0,25324,1,1,0.93672,1.89251
2400.164778,2360.343076,1326.6,1,0,0,38488,1,1,0.97992,1.92033
2372.392688,2436.782429,672.3,1,0,0,44567,1,1,1.01366,2.03562
2415.371339,2405.200865,1160.6,0,0,1,30337,1,1,0.93552,2.2372
2381.780508,2415.590078,633.4,1,0,0,31043,1,1,0.97351,2.07694
2300.557875,2435.24564,683.7,1,0,0,38951,1,1,0.96588,2.13514
2437.607814,2360.369685,1715.2,1,0,0,31632,1,1,0.99816,1.90586
2300.557875,2402.475076,1222.2,0,1,0,32978,1,1,0.96522,2.06826
2495.500445,2362.895358,696.4,0,1,0,37157,1,1,0.98049,2.19213
2360.475293,2287.469184,1431.4,0,1,0,31670,1,1,0.92804,2.00728
2360.475293,2372.392688,1132.8,1,0,0,47500,1,1,0.94525,1.89016
2428.650697,2331.999937,2172.8,0,1,0,25967,1,1,0.93351,1.89635
2363.517172,2379.670669,877,0,1,0,27136,1,1,0.94449,2.15458
2360.343076,2300.557875,1521.2,0,1,0,32586,1,1,0.97946,2.05677
2415.371339,2381.275964,1858.6,0,0,1,28040,1,1,0.93089,2.00288
2379.670669,2347.421012,1220.1,0,0,1,37380,1,1,0.93701,2.17411
2364.243526,2287.469184,749.7,1,0,0,23380,1,1,0.95581,2.04041
2337.423269,2381.780508,691.7,1,0,0,47500,1,1,0.9531,2.16789
2341.754674,2391.87245,1098,1,0,0,29071,1,1,0.96395,1.81827
2341.754674,2343.524375,684.1,1,0,0,25756,1,1,0.92209,1.9037
2400.164778,2373.978362,891.6,1,0,0,21332,1,1,0.97336,1.78958
2304.903794,2364.243526,539.5,1,0,0,38735,1,1,1.00245,2.07669
2384.808275,2360.343076,1607.8,1,0,0,44058,1,1,0.96621,1.90264
2495.500445,2368.143591,932.8,1,0,0,37005,1,1,0.99201,1.90185
2379.670669,2422.435157,900.3,0,0,1,42482,1,1,0.93478,2.3092
2368.143591,2402.475076,1556.3,0,1,0,28505,1,1,0.92364,1.93531
2379.670669,2287.469184,418,1,0,0,31909,1,1,0.94122,2.33556
2287.469184,2371.441718,523.3,1,0,0,17804,1,1,0.95108,2.0574
2379.670669,2422.435157,929.3,1,0,0,30918,1,1,0.96079,1.91336
2363.220922,2381.780508,1901.5,1,0,0,31374,1,1,0.93499,1.81931
2360.343076,2399.973752,1266,0,1,0,20678,1,1,0.98745,1.99624
2417.105175,2327.602075,1085.4,1,0,0,15712,1,1,0.95874,1.78353
2428.650697,2360.475293,241.1,0,1,0,22072,1,1,0.98321,2.31708
2391.87245,2360.343076,1119.1,1,0,0,33741,1,1,1.00244,1.92067
2428.650697,2384.808275,473.8,1,0,0,30788,1,1,0.97095,2.10268
2381.275964,2324.758747,627.1,1,0,0,26684,1,1,0.96597,2.06245
2362.030533,2398.948371,1962.4,1,0,0,33505,1,1,0.99212,1.88256
2368.143591,2371.441718,937.7,1,0,0,28250,1,1,0.92946,1.8857
2402.475076,2347.421012,1191.6,1,0,0,38567,1,1,0.97407,1.97377
2415.590078,2337.423269,445.7,1,0,0,47500,1,1,0.92243,2.27821
2372.392688,2399.973752,533.8,0,0,1,30570,1,1,,2.37177
2384.808275,2278.068216,2223.2,1,0,0,38009,1,1,0.9865,1.80907
2405.630936,2363.220922,1894.5,0,0,1,24375,1,1,0.96913,1.97575
2285.719116,2402.475076,963.4,1,0,0,26618,1,1,0.94999,1.92845
2372.242708,2331.999937,1511.9,1,0,0,33797,1,1,0.97495,1.89226
2304.903794,2386.745584,552.3,1,0,0,35867,1,1,0.95018,2.08522
2363.517172,2398.948371,460.8,1,0,0,44437,1,1,0.92194,2.34272
2304.903794,2363.220922,2564.4,1,0,0,33614,1,1,0.9793,1.70479
2340.208547,2341.228856,2252.6,0,0,1,19108,1,1,0.9799,1.95172
2340.208547,2384.808275,2835.2,1,0,0,27463,1,1,0.91179,1.72674
2381.780508,2428.650697,1206.8,0,0,1,36158,1,1,0.95648,2.08024
2421.419866,2386.745584,1079.3,1,0,0,15890,1,1,0.98608,1.86781
2373.978362,2371.33693,2809.6,0,1,0,30262,1,1,0.96455,1.76744
2341.754674,2347.323839,1571.7,1,0,0,36231,1,1,0.93688,1.84064
2371.441718,2330.211578,1830,0,1,0,35777,1,1,0.98052,2.00431
2371.33693,2352.858014,2251.7,1,0,0,37379,1,1,1.00028,1.76503
2337.423269,2287.469184,483.5,1,0,0,9938,1,1,0.96622,2.12751
2286.313212,2371.441718,584.1,1,0,0,32780,1,1,0.97719,2.12836
2345.354121,2319.611823,485,1,0,0,31513,1,1,0.955,1.94477
2343.524375,2331.999937,1397.4,1,0,0,19108,1,1,0.93388,1.80121
2364.243526,2278.068216,1665.7,1,0,0,32421,1,1,0.9722,1.79777
2287.469184,2384.808275,1218.8,0,0,1,41299,1,1,0.97996,2.15229
2371.33693,2371.441718,1233.6,1,0,0,31111,1,1,0.99608,1.80726
2495.500445,2360.343076,988.9,1,0,0,45122,1,1,0.99822,2.01772
2360.343076,2337.423269,897.3,0,1,0,34157,1,1,0.89719,2.23327
2341.754674,2376.175448,269.9,1,0,0,38619,1,1,0.99213,2.38586
2415.371339,2371.441718,2021.2,0,0,1,28169,1,1,0.92737,1.94607
2287.469184,2417.105175,1468.2,0,1,0,24667,1,1,0.92915,1.95359
2371.441718,2337.423269,330.7,1,0,0,38874,1,1,0.95229,2.29168
2399.973752,2363.220922,2147.1,0,0,1,24604,2,1,0.99158,1.97249
2337.423269,2391.87245,858.7,1,0,0,21564,2,1,0.95901,1.90021
2421.419866,2347.421012,1344.8,1,0,0,29019,2,1,0.95407,1.85227
2428.650697,2360.475293,230.1,1,0,0,26650,2,1,1.01393,2.34335
2363.517172,2268.785714,143.7,1,0,0,29353,2,1,0.97156,2.60022
2386.745584,2345.354121,518,0,0,1,8769,2,1,0.9771,2.14691
2415.371339,2352.858014,889.1,1,0,0,39182,2,1,1.03335,2.06501
2376.175448,2360.369685,1091.1,1,0,0,43148,2,1,0.99375,1.98481
2435.651745,2422.435157,321,0,0,1,25053,2,1,0.99591,2.51728
2300.557875,2381.780508,801.4,1,0,0,30091,2,1,1.00702,1.97066
2415.590078,2415.371339,1644.7,0,0,1,39709,2,1,0.99885,2.20899
2372.392688,2435.651745,440.5,0,0,1,37021,2,1,1.01604,2.55621
2428.650697,2384.808275,465.3,0,0,1,29498,2,1,0.97866,2.33862
2364.243526,2363.220922,2093.2,0,0,1,29140,2,1,0.9799,2.0447
2347.323839,2331.999937,454.9,1,0,0,27059,2,1,0.97035,2.27961
2337.423269,2435.651745,347.1,0,0,1,28738,2,1,1.00469,2.45605
2285.719116,2376.175448,1058.8,0,1,0,29404,2,1,0.97097,2.06627
2324.519959,2330.211578,2109.2,0,1,0,25298,2,1,1.02179,1.87547
2345.88247,2376.175448,514.7,1,0,0,37252,2,1,0.97236,2.16074
2304.903794,2371.33693,492.5,1,0,0,36080,2,1,1.00977,2.05898
2278.068216,2405.200865,813,1,0,0,20966,2,1,1.0052,1.97862
2399.973752,2371.441718,509.8,1,0,0,36718,2,1,0.94601,2.17352
2417.105175,2405.630936,1041.8,1,0,0,18384,2,1,1.01045,1.76907
2402.475076,2287.469184,151.9,0,1,0,19055,2,1,1.02282,2.70847
2373.978362,2364.243526,2132,0,0,1,36104,2,1,0.96721,1.92123
2371.33693,2384.808275,578.9,0,1,0,15212,2,1,0.92791,2.00872
2421.419866,2287.469184,292.8,0,1,0,22437,2,1,0.93838,2.48919
2405.630936,2368.143591,1008.1,1,0,0,29599,2,1,0.97056,1.84219
2379.670669,2340.208547,1462.3,1,0,0,37666,2,1,0.97591,1.9251
2371.441718,2331.999937,986.9,1,0,0,26942,2,1,1.00497,2.03862
2341.754674,2400.164778,3109.8,0,0,1,40154,2,1,0.9733,2.01059
2363.517172,2278.068216,1610.2,1,0,0,45956,2,1,0.95031,1.8724
2360.343076,2362.895358,1555.6,1,0,0,30377,2,1,0.99485,1.78958
2381.780508,2304.903794,642.9,0,1,0,21799,2,1,0.9781,2.04911
2398.948371,2422.435157,520.7,1,0,0,26480,2,1,0.97076,2.04795
2399.973752,2287.469184,1018.4,1,0,0,24438,2,1,0.98873,1.87155
2422.435157,2363.220922,1948.5,0,0,1,24768,2,1,0.97868,2.02939
2347.323839,2292.950558,1247.1,1,0,0,34675,2,1,0.96455,1.952
2300.557875,2363.220922,2602.9,0,1,0,16985,2,1,0.99977,1.76886
2341.754674,2417.105175,70,1,0,0,26701,2,1,0.97988,2.63111
2340.208547,2319.611823,2769,1,0,0,41088,2,1,0.99685,1.70715
2341.754674,2379.670669,1849.3,0,1,0,32067,2,1,1.00156,1.96628
2363.517172,2362.030533,2313.5,1,0,0,31130,2,1,0.95491,1.77997
2324.758747,2371.33693,1449.7,1,0,0,43315,2,1,0.95753,1.88298
2428.650697,2415.590078,1579.7,0,0,1,40041,2,1,0.96953,2.18692
2341.228856,2381.780508,919.8,1,0,0,33053,2,1,1.01568,1.95414
2415.371339,2405.630936,1954.3,0,1,0,35284,2,1,0.99763,2.04063
2422.435157,2360.369685,457.9,1,0,0,32654,2,1,1.00423,2.21916
2371.33693,2343.524375,948.4,1,0,0,41750,2,1,0.97978,1.90312
2331.999937,2268.785714,948,1,0,0,17800,2,1,0.99774,1.90675
2341.754674,2347.421012,1020.2,0,0,1,27930,2,1,0.98794,2.07151
2360.369685,2384.808275,716.6,0,0,1,40513,2,1,0.97872,2.26917
2398.948371,2371.33693,1591.2,1,0,0,40862,2,1,0.99807,1.8802
2415.371339,2376.175448,3186.6,1,0,0,33283,2,1,0.9574,1.7683
2331.999937,2360.343076,135,0,0,1,20524,2,1,1.02378,2.93631
2417.105175,2399.973752,810.1,1,0,0,38388,2,1,0.99297,1.93393
2373.978362,2364.243526,2184.2,0,0,1,39052,2,1,1.03724,2.01822
2345.354121,2393.746127,781.2,0,0,1,27995,2,1,0.98518,2.20918
2371.441718,2436.782429,657.4,1,0,0,28197,2,1,0.98702,2.01266
2340.208547,2330.211578,496.2,1,0,0,-26670,2,1,0.96903,2.13155
2415.371339,2347.421012,2172.9,1,0,0,34953,2,1,0.9853,1.86455
2435.651745,2300.557875,411.3,0,0,1,-20003,2,1,0.948,2.31682
2362.895358,2363.517172,671.5,0,1,0,26955,2,1,0.99949,2.11142
2399.973752,2360.343076,1267.9,1,0,0,38875,2,1,0.94089,2.01241
2386.745584,2372.242708,634.6,0,0,1,29537,2,1,1.00395,2.21647
2327.602075,2278.068216,1402.7,1,0,0,31411,2,1,0.96111,1.89109
2421.419866,2345.354121,1293.3,1,0,0,32722,2,1,1.04037,1.92619
2364.243526,2347.323839,731.9,1,0,0,34673,2,1,0.9516,2.04745
2285.719116,2341.228856,925.9,1,0,0,32687,2,1,1.0296,1.94664
2393.746127,2379.670669,506.8,0,0,1,26664,2,1,1.0061,2.44077
2398.948371,2324.758747,300.9,1,0,0,41598,2,1,1.00685,2.53898
2363.220922,2352.858014,877.3,1,0,0,41959,2,1,0.96957,1.97112
2415.371339,2373.978362,904.7,1,0,0,32750,2,1,0.99977,1.86803
2400.164778,2379.670669,1318.6,1,0,0,31897,2,1,0.93668,1.94605
2363.517172,2327.602075,407.7,0,1,0,31920,2,1,0.95741,2.37813
2400.164778,2360.475293,3034.8,1,0,0,39439,2,1,1.004,1.7203
2437.607814,2304.903794,1964,0,1,0,34033,2,1,1.00238,1.8916
2347.421012,2400.164778,2251.1,0,0,1,29066,2,1,1.00891,1.90775
2337.423269,2304.903794,946.2,0,1,0,35177,2,1,0.99853,2.05096
2417.105175,2376.175448,301.4,1,0,0,45787,2,1,1.00623,2.36826
2386.745584,2331.999937,1317.4,0,0,1,-23981,2,1,1.0082,2.13918
2341.228856,2341.754674,1342.7,0,0,1,26397,2,1,,2.01837
2381.780508,2437.607814,1353.1,1,0,0,32464,2,1,0.96077,1.91243
2372.392688,2360.475293,1088.2,0,1,0,35915,2,1,0.93112,2.08017
2402.475076,2360.369685,730.8,1,0,0,20485,2,1,0.98357,1.99027
2393.746127,2371.33693,1532.1,1,0,0,25701,2,1,1.00436,1.79251
2400.164778,2368.143591,2982.6,1,0,0,32891,2,1,0.9617,1.75281
2428.650697,2379.670669,2013.7,1,0,0,47500,2,1,0.99566,1.92448
2363.517172,2371.33693,1253.8,1,0,0,30448,2,1,0.9541,1.83201
2421.419866,2345.354121,1322.5,1,0,0,28913,2,1,0.97922,1.90012
2417.105175,2372.242708,778.9,1,0,0,39443,2,1,0.9893,1.96501
2304.903794,2341.754674,443.9,0,0,1,37389,2,1,0.97098,2.45953
2435.24564,2343.524375,591.6,1,0,0,44971,2,1,0.96837,2.08778
2371.33693,2436.782429,882.2,1,0,0,39354,2,1,0.98282,1.96526
2300.557875,2363.517172,613.1,1,0,0,21380,2,1,0.99025,2.05318
2287.469184,2386.745584,839.7,1,0,0,25455,2,1,1.02493,1.96507
2400.164778,2347.421012,2235,1,0,0,35736,2,1,0.96267,1.72473
2331.999937,2398.948371,594,0,1,0,20355,2,1,1.02502,2.23477
2417.105175,2402.475076,1568.5,0,1,0,24901,2,1,1.02696,1.97172
2391.87245,2436.782429,256.5,0,1,0,34724,2,1,1.02766,2.41279
2360.475293,2285.719116,800.4,1,0,0,6811,2,1,0.99558,1.76901
2340.208547,2379.670669,1454.2,0,1,0,24940,2,1,0.95909,2.04469
2304.903794,2345.88247,258.9,0,0,1,32382,2,1,1.01477,2.51158
2340.208547,2435.651745,2454.9,1,0,0,38008,2,1,0.93741,1.76082
2368.143591,2405.630936,998.9,0,1,0,37308,2,1,0.97123,2.19638
2384.808275,2417.105175,277.6,1,0,0,29046,2,1,1.016,2.18122
2399.973752,2405.200865,1386.5,1,0,0,36528,2,1,1.00233,1.87811
2437.607814,2319.611823,2113.6,1,0,0,32352,2,1,0.98011,1.74303
2436.782429,2381.780508,336,1,0,0,37829,2,1,1.0488,2.23554
2368.143591,2417.105175,110.2,0,1,0,20191,2,1,1.00264,2.62803
2417.105175,2360.369685,976.5,1,0,0,40744,2,1,1.03266,2.00324
2327.602075,2343.524375,748.5,0,0,1,36228,2,1,0.96285,2.24462
2364.243526,2379.670669,1016.8,1,0,0,44079,2,1,0.97727,2.08226
2402.475076,2345.354121,1140.1,0,0,1,36773,2,1,1.02689,2.20276
2422.435157,2417.105175,899.4,0,1,0,17858,2,1,0.97163,1.97288
2391.87245,2287.469184,941.2,0,0,1,37315,2,1,0.98876,2.24769
2415.371339,2324.758747,1934.8,1,0,0,47500,2,1,0.97303,1.90879
2379.670669,2428.650697,1985.1,1,0,0,34311,2,1,0.99159,1.87053
2292.950558,2362.895358,2322.2,1,0,0,14121,2,1,0.93244,1.68672
2428.650697,2343.524375,785.5,1,0,0,23644,2,1,0.99063,1.93307
2379.670669,2363.220922,1225.6,0,0,1,27498,2,1,0.95993,2.10911
2341.754674,2363.220922,2832.2,1,0,0,37229,2,1,0.96066,1.71474
2304.903794,2386.745584,554.5,0,0,1,27144,2,1,0.94551,2.19965
2337.423269,2341.754674,1106.5,1,0,0,29022,2,1,0.99319,1.88176
2415.371339,2363.517172,2105.1,1,0,0,26470,2,1,0.9715,1.74235
2373.978362,2330.211578,794.7,1,0,0,41074,2,1,0.97678,2.02626
2324.519959,2400.164778,2401.1,1,0,0,24358,2,1,1.02215,1.75298
2381.780508,2345.354121,332.5,1,0,0,41246,2,1,0.94075,2.28149
2345.354121,2422.435157,436.6,1,0,0,22172,2,1,0.9987,2.00852
2398.948371,2360.343076,500.3,1,0,0,28943,2,1,0.99974,2.30507
2435.24564,2364.243526,169,0,1,0,38158,2,1,1.04074,2.80354
2363.220922,2300.557875,2534.6,1,0,0,37966,2,1,1.00891,1.81706
2363.220922,2405.630936,1921.8,0,0,1,35090,2,1,0.99887,2.19042
2292.950558,2415.371339,556.5,0,0,1,19098,2,1,0.96494,2.19308
2400.164778,2384.808275,2781.6,0,0,1,43972,2,1,0.99544,2.01542
2347.323839,2428.650697,1717.4,1,0,0,41626,2,1,0.96676,1.88273
2415.371339,2340.208547,447.1,1,0,0,25869,2,1,0.98418,2.07206
2304.903794,2319.611823,143.9,1,0,0,17880,2,1,0.99028,2.23605
2372.392688,2372.242708,768.2,1,0,0,30433,2,1,0.9725,2.01593
2435.24564,2435.651745,377.4,1,0,0,32476,2,1,0.97626,2.16796
2371.441718,2287.469184,560.9,0,0,1,27029,2,1,1.00292,2.42119
2381.780508,2415.371339,1978.2,1,0,0,36859,2,1,1.00352,1.85233
2372.392688,2324.758747,333.8,0,1,0,30771,2,1,1.00212,2.48467
2402.475076,2400.164778,1584.5,1,0,0,19564,2,1,0.98122,1.78443
2422.435157,2287.469184,671.5,1,0,0,37776,2,1,1.01242,2.18071
2422.435157,2386.745584,288.5,1,0,0,21254,2,1,0.97655,2.18941
2495.500445,2437.607814,1372.5,0,0,1,21660,2,1,0.99936,1.95435
2391.87245,2381.275964,220.2,1,0,0,25549,2,1,0.99122,2.27662
2384.808275,2393.746127,1074.8,1,0,0,23684,2,1,0.97033,1.92116
2386.745584,2319.611823,685.6,1,0,0,30959,2,1,1.00393,1.89033
2300.557875,2399.973752,704.4,0,0,1,21962,2,1,0.95182,2.09498
2347.323839,2415.371339,1498.1,1,0,0,25142,2,1,0.96575,1.80885
2347.323839,2437.607814,1028.5,1,0,0,22716,2,1,0.95357,1.91152
2362.030533,2400.164778,663,0,0,1,23282,2,1,0.99549,2.17493
2319.611823,2360.475293,471.3,1,0,0,21650,2,1,1.05003,2.03259
2360.369685,2376.175448,1102.3,0,0,1,37152,2,1,0.98931,2.16006
2437.607814,2341.754674,2402.1,0,1,0,38578,2,1,0.98326,1.92212
2352.858014,2330.555271,749.9,0,0,1,32269,2,1,0.99207,2.35571
2415.371339,2415.590078,1656.1,0,1,0,36300,2,1,0.96785,2.01728
2343.524375,2363.220922,2508.5,0,1,0,37049,2,1,0.9682,1.9138
2398.948371,2363.220922,1638.4,0,0,1,15521,2,1,0.99512,2.00477
2398.948371,2300.557875,1029.5,1,0,0,26608,2,1,0.9512,1.91911
2360.369685,2337.423269,138.8,1,0,0,15785,2,1,0.99641,2.46012
2278.068216,2381.780508,1501,1,0,0,24661,2,1,1.00239,1.81963
2417.105175,2381.275964,1120.7,1,0,0,31448,2,1,1.00002,1.91519
2405.630936,2324.758747,317.4,0,0,1,28337,2,1,1.00708,2.52187
2400.164778,2368.143591,2935.7,0,1,0,32807,2,1,,1.91236
2435.24564,2421.419866,932.7,0,0,1,33909,2,1,0.95371,2.27056
2391.87245,2341.754674,1097,1,0,0,44677,3,1,0.99035,1.86323
2347.421012,2364.243526,611.1,1,0,0,39728,3,1,0.94875,2.05606
2417.105175,2360.475293,100.4,1,0,0,20399,3,1,0.9514,2.51655
2400.164778,2368.143591,2989.9,1,0,0,32173,3,1,0.94503,1.75183
2363.517172,2402.475076,676.7,0,0,1,43544,3,1,0.93829,2.45432
2304.903794,2405.630936,802.8,1,0,0,27582,3,1,0.90193,1.90079
2436.782429,2421.419866,1341.1,1,0,0,22541,3,1,0.95658,1.77236
2421.419866,2287.469184,286.7,1,0,0,47013,3,1,0.94734,2.5192
2304.903794,2324.758747,1027.4,1,0,0,23836,3,1,0.96238,1.83728
2360.343076,2319.611823,1782.7,0,0,1,32201,3,1,0.94561,2.0625
2384.808275,2362.030533,2848.8,0,0,1,,3,1,0.9137,1.92679
2398.948371,2364.243526,621.1,1,0,0,22817,3,1,0.9545,2.06261
2331.999937,2330.211578,943.2,1,0,0,15077,3,1,0.90127,1.89022
2371.33693,2437.607814,2488.5,0,0,1,35352,3,1,0.93858,1.90692
2287.469184,2373.978362,1859.3,0,1,0,42016,3,1,0.92037,2.01285
2400.164778,2337.423269,2175.2,0,0,1,21964,3,1,0.89069,2.02571
2360.369685,2415.590078,532.3,0,0,1,38027,3,1,0.93163,2.47734
2345.354121,2428.650697,937.9,0,0,1,25364,3,1,0.93266,2.02119
2330.555271,2287.469184,1539.7,1,0,0,26258,3,1,0.96651,1.86629
2373.978362,2341.754674,2912.9,1,0,0,36344,3,1,0.92494,1.74864
2417.105175,2399.973752,789,1,0,0,37898,3,1,0.90306,1.93869
2340.208547,2399.973752,2223.8,1,0,0,27521,3,1,0.91804,1.70237
2415.590078,2373.978362,1804.5,1,0,0,24159,3,1,0.91743,1.76041
2363.220922,2373.978362,543.5,0,0,1,27369,3,1,0.93172,2.31079
2393.746127,2364.243526,514.5,1,0,0,40690,3,1,0.95355,2.2098
2386.745584,2372.392688,460.8,0,0,1,26550,3,1,0.98566,2.39425
2402.475076,2495.500445,731.7,1,0,0,30694,3,1,0.94996,2.13699
2324.758747,2435.651745,416.2,1,0,0,21146,3,1,0.90337,2.19842
2372.242708,2402.475076,1253.8,0,0,1,37554,3,1,0.95024,2.12263
2364.243526,2398.948371,631.5,1,0,0,23466,3,1,0.94175,1.99918
2436.782429,2287.469184,1142.6,1,0,0,35867,3,1,0.96537,1.9813
2330.555271,2362.895358,2437.2,0,1,0,45064,3,1,0.92442,1.90474
2437.607814,2360.343076,943.3,1,0,0,30817,3,1,0.95088,2.06632
2343.524375,2360.343076,1354.9,0,0,1,15489,3,1,0.9516,2.05709
2386.745584,2363.517172,260.5,1,0,0,28042,3,1,0.92834,2.2978
2417.105175,2363.517172,938.2,1,0,0,25946,3,1,0.98947,1.81883
2341.754674,2363.220922,2931.4,1,0,0,32768,3,1,0.90696,1.76864
2405.630936,2285.719116,436.5,0,1,0,35245,3,1,0.91089,2.37527
2319.611823,2363.220922,2558.3,1,0,0,22897,3,1,0.94523,1.71079
2360.369685,2330.555271,2043,1,0,0,31656,3,1,0.96342,1.81145
2495.500445,2381.275964,183,1,0,0,37940,3,1,0.9196,2.58854
